id,first_name,last_name,age
5948,Anastasia,Hämäläinen,61
5949,Dmitri,Heikkinen,80
5950,Daniil,Lehtonen,24
5951,Anya,Laine,43
5952,Igor,Lehtinen,49
5953,Nikita,Koskinen,33
5954,Ekaterina,Lehtonen,92
5955,Alexei,Nieminen,75
5956,Maria,Lehtonen,30
5957,Alexei,Virtanen,18
5958,Anya,Laine,89
5959,Maria,Järvinen,34
5960,Anastasia,Hämäläinen,25
5961,Aleksandr,Lehtonen,39
5962,Anastasia,Lehtinen,70
5963,Daniil,Nieminen,21
5964,Igor,Korhonen,61
5965,Anya,Nieminen,41
5966,Daniil,Koskinen,31
5967,Dmitri,Heikkinen,93
5968,Dmitri,Nieminen,52
5969,Boris,Laine,33
5970,Nikita,Mäkelä,57
5971,Ekaterina,Koskinen,42
5972,Anastasia,Lehtinen,52
5973,Alexei,Koskinen,21
5974,Anatoly,Järvinen,68
5975,Leonid,Laine,31
5976,Anastasia,Mäkinen,63
5977,Anatoly,Hämäläinen,66
5978,Sofia,Korhonen,78
5979,Anya,Heikkinen,48
5980,Dmitri,Lehtonen,80
5981,Leonid,Mäkelä,91
5982,Daniil,Hämäläinen,38
5983,Nikita,Järvinen,39
5984,Alina,Järvinen,58
5985,Maria,Nieminen,93
5986,Alina,Korhonen,75
5987,Sofia,Lehtonen,53
5988,Anya,Heikkinen,91
5989,Dmitri,Heikkinen,55
5990,Alina,Nieminen,31
5991,Daniil,Nieminen,19
5992,Boris,Mäkelä,44
5993,Ekaterina,Mäkinen,33
5994,Alexei,Nieminen,97
5995,Daniil,Laine,37
5996,Ekaterina,Lehtinen,75
5997,Dmitri,Koskinen,94
5998,Anatoly,Laine,96
5999,Alina,Heikkinen,83
6000,Anya,Laine,75
6001,Leonid,Mäkelä,82
6002,Daniil,Mäkinen,25
6003,Anastasia,Mäkinen,92
6004,Alina,Lehtonen,90
6005,Igor,Järvinen,48
6006,Anatoly,Laine,76
6007,Maria,Koskinen,36
6008,Igor,Järvinen,90
6009,Leonid,Koskinen,33
6010,Anastasia,Virtanen,92
6011,Anatoly,Virtanen,27
6012,Daniil,Heikkinen,38
6013,Sofia,Heikkinen,82
6014,Anya,Koskinen,27
6015,Dmitri,Lehtinen,54
6016,Maria,Hämäläinen,31
6017,Daniil,Lehtonen,50
6018,Aleksandr,Lehtinen,83
6019,Anastasia,Mäkinen,69
6020,Maria,Virtanen,53
6021,Alina,Heikkinen,45
6022,Ekaterina,Järvinen,44
6023,Leonid,Nieminen,69
6024,Anatoly,Koskinen,49
6025,Anatoly,Nieminen,31
6026,Anya,Korhonen,31
6027,Anatoly,Nieminen,36
6028,Ekaterina,Laine,83
6029,Boris,Järvinen,41
6030,Anastasia,Hämäläinen,30
6031,Dmitri,Virtanen,55
6032,Aleksandr,Virtanen,50
6033,Anya,Lehtonen,62
6034,Nikita,Laine,76
6035,Sofia,Mäkelä,95
6036,Anatoly,Koskinen,69
6037,Leonid,Mäkinen,29
6038,Anya,Mäkelä,63
6039,Nikita,Hämäläinen,69
6040,Nikita,Järvinen,21
6041,Leonid,Lehtinen,96
6042,Anya,Hämäläinen,88
6043,Anastasia,Heikkinen,68
6044,Boris,Korhonen,54
6045,Maria,Korhonen,51
6046,Boris,Mäkinen,88
6047,Igor,Mäkinen,24
6048,Sofia,Lehtinen,64
6049,Anatoly,Heikkinen,47
6050,Ekaterina,Nieminen,71
6051,Igor,Korhonen,26
6052,Anatoly,Mäkelä,52
6053,Boris,Koskinen,47
6054,Ekaterina,Lehtonen,39
6055,Anatoly,Heikkinen,80
6056,Ekaterina,Korhonen,50
6057,Daniil,Järvinen,77
6058,Dmitri,Hämäläinen,33
6059,Nikita,Lehtonen,51
6060,Leonid,Järvinen,61
6061,Anya,Virtanen,89
6062,Maria,Korhonen,67
6063,Alina,Järvinen,19
6064,Daniil,Mäkelä,47
6065,Leonid,Järvinen,59
6066,Leonid,Mäkinen,74
6067,Nikita,Korhonen,94
6068,Boris,Lehtonen,26
6069,Alina,Mäkinen,72
6070,Igor,Lehtonen,77
6071,Alina,Mäkinen,66
6072,Maria,Lehtinen,44
6073,Alina,Virtanen,45
6074,Sofia,Nieminen,33
6075,Leonid,Järvinen,64
6076,Igor,Järvinen,59
6077,Ekaterina,Nieminen,98
6078,Anatoly,Koskinen,62
6079,Aleksandr,Heikkinen,66
6080,Daniil,Heikkinen,25
6081,Anastasia,Mäkelä,56
6082,Alina,Virtanen,32
6083,Sofia,Koskinen,66
6084,Aleksandr,Lehtinen,60
6085,Boris,Mäkinen,62
6086,Anya,Lehtonen,62
6087,Aleksandr,Korhonen,44
6088,Nikita,Mäkinen,47
6089,Sofia,Virtanen,37
6090,Anastasia,Laine,34
6091,Sofia,Lehtinen,69
6092,Anatoly,Lehtinen,96
6093,Igor,Hämäläinen,29
6094,Dmitri,Järvinen,29
6095,Alexei,Korhonen,20
6096,Daniil,Virtanen,77
6097,Anatoly,Laine,92
6098,Boris,Järvinen,28
6099,Dmitri,Nieminen,36
6100,Nikita,Korhonen,39
6101,Boris,Hämäläinen,79
6102,Anatoly,Koskinen,34
6103,Anastasia,Järvinen,51
6104,Anatoly,Hämäläinen,61
6105,Alina,Nieminen,31
6106,Daniil,Koskinen,43
6107,Dmitri,Hämäläinen,27
6108,Dmitri,Mäkinen,44
6109,Boris,Hämäläinen,94
6110,Alina,Laine,18
6111,Ekaterina,Heikkinen,60
6112,Aleksandr,Nieminen,31
6113,Leonid,Heikkinen,82
6114,Alina,Mäkelä,76
6115,Aleksandr,Koskinen,80
6116,Anatoly,Mäkelä,93
6117,Sofia,Mäkinen,83
6118,Dmitri,Nieminen,60
6119,Ekaterina,Heikkinen,87
6120,Daniil,Koskinen,48
6121,Leonid,Virtanen,83
6122,Anastasia,Koskinen,50
6123,Ekaterina,Laine,39
6124,Dmitri,Lehtinen,43
6125,Dmitri,Nieminen,68
6126,Daniil,Mäkelä,70
6127,Anya,Heikkinen,23
6128,Anastasia,Korhonen,94
6129,Dmitri,Laine,97
6130,Nikita,Lehtonen,65
6131,Anya,Mäkelä,68
6132,Ekaterina,Lehtinen,20
6133,Leonid,Korhonen,74
6134,Anya,Mäkelä,89
6135,Boris,Koskinen,28
6136,Sofia,Lehtonen,38
6137,Boris,Lehtonen,93
6138,Daniil,Mäkinen,87
6139,Alexei,Virtanen,46
6140,Alexei,Mäkelä,71
6141,Alexei,Laine,62
6142,Leonid,Laine,92
6143,Sofia,Laine,84
6144,Nikita,Nieminen,94
6145,Daniil,Heikkinen,77
6146,Alina,Mäkinen,50
6147,Sofia,Virtanen,84
6148,Dmitri,Virtanen,21
6149,Dmitri,Lehtonen,98
6150,Alexei,Lehtinen,98
6151,Alina,Hämäläinen,99
6152,Igor,Lehtinen,68
6153,Anatoly,Korhonen,81
6154,Boris,Hämäläinen,97
6155,Boris,Virtanen,62
6156,Boris,Koskinen,19
6157,Alina,Järvinen,47
6158,Alexei,Lehtonen,55
6159,Dmitri,Lehtinen,40
6160,Alina,Nieminen,98
6161,Maria,Korhonen,25
6162,Leonid,Lehtinen,55
6163,Alexei,Lehtonen,64
6164,Nikita,Korhonen,45
6165,Leonid,Nieminen,23
6166,Dmitri,Heikkinen,39
6167,Alexei,Hämäläinen,56
6168,Anastasia,Lehtonen,54
6169,Anastasia,Lehtinen,32
6170,Alexei,Koskinen,43
6171,Alina,Mäkinen,93
6172,Dmitri,Korhonen,84
6173,Anatoly,Virtanen,32
6174,Maria,Järvinen,18
6175,Nikita,Lehtinen,33
6176,Anya,Korhonen,65
6177,Anatoly,Koskinen,40
6178,Ekaterina,Hämäläinen,28
6179,Maria,Laine,24
6180,Anastasia,Lehtonen,60
6181,Leonid,Mäkelä,33
6182,Alina,Hämäläinen,27
6183,Alexei,Lehtinen,45
6184,Ekaterina,Lehtinen,56
6185,Anastasia,Koskinen,31
6186,Aleksandr,Virtanen,85
6187,Dmitri,Koskinen,64
6188,Alina,Nieminen,67
6189,Daniil,Nieminen,91
6190,Boris,Järvinen,49
6191,Ekaterina,Nieminen,54
6192,Daniil,Koskinen,57
6193,Boris,Nieminen,72
6194,Alexei,Lehtinen,41
6195,Alexei,Lehtonen,21
6196,Ekaterina,Mäkinen,22
6197,Maria,Koskinen,29
6198,Dmitri,Lehtonen,50
6199,Boris,Järvinen,25
6200,Ekaterina,Laine,82
6201,Boris,Lehtinen,45
6202,Anya,Järvinen,45
6203,Anastasia,Laine,24
6204,Daniil,Hämäläinen,80
6205,Nikita,Laine,95
6206,Sofia,Nieminen,27
6207,Nikita,Hämäläinen,35
6208,Ekaterina,Korhonen,58
6209,Anya,Järvinen,45
6210,Leonid,Mäkelä,40
6211,Boris,Koskinen,46
6212,Leonid,Mäkinen,49
6213,Aleksandr,Laine,74
6214,Maria,Laine,56
6215,Anatoly,Lehtinen,37
6216,Anastasia,Hämäläinen,63
6217,Sofia,Laine,99
6218,Maria,Mäkelä,25
6219,Maria,Mäkinen,99
6220,Alexei,Hämäläinen,96
6221,Ekaterina,Virtanen,37
6222,Anatoly,Heikkinen,60
6223,Boris,Nieminen,59
6224,Anastasia,Lehtonen,30
6225,Aleksandr,Nieminen,82
6226,Anatoly,Virtanen,54
6227,Anatoly,Heikkinen,37
6228,Anastasia,Mäkinen,67
6229,Alina,Nieminen,60
6230,Aleksandr,Lehtonen,73
6231,Nikita,Hämäläinen,83
6232,Daniil,Laine,47
6233,Boris,Mäkinen,69
6234,Leonid,Mäkinen,40
6235,Leonid,Korhonen,53
6236,Igor,Laine,52
6237,Daniil,Laine,52
6238,Anastasia,Laine,82
6239,Anastasia,Lehtinen,49
6240,Dmitri,Mäkelä,36
6241,Leonid,Korhonen,91
6242,Daniil,Mäkelä,52
6243,Anatoly,Koskinen,80
6244,Anastasia,Hämäläinen,44
6245,Sofia,Laine,29
6246,Anatoly,Lehtinen,29
6247,Igor,Lehtinen,75
6248,Maria,Lehtinen,65
6249,Anya,Järvinen,18
6250,Anatoly,Hämäläinen,75
6251,Nikita,Heikkinen,26
6252,Igor,Lehtonen,54
6253,Anastasia,Mäkelä,84
6254,Boris,Koskinen,18
6255,Maria,Hämäläinen,49
6256,Igor,Hämäläinen,53
6257,Anya,Heikkinen,72
6258,Nikita,Järvinen,76
6259,Aleksandr,Koskinen,22
6260,Anastasia,Laine,82
6261,Anya,Mäkelä,25
6262,Leonid,Mäkinen,76
6263,Aleksandr,Mäkinen,59
6264,Anastasia,Nieminen,95
6265,Sofia,Mäkinen,51
6266,Alina,Nieminen,65
6267,Sofia,Korhonen,21
6268,Dmitri,Heikkinen,34
6269,Igor,Virtanen,33
6270,Anatoly,Korhonen,41
6271,Sofia,Mäkinen,92
6272,Alexei,Lehtonen,87
6273,Nikita,Lehtonen,79
6274,Anastasia,Nieminen,18
6275,Anya,Mäkelä,28
6276,Anastasia,Koskinen,24
6277,Igor,Lehtonen,43
6278,Alina,Hämäläinen,31
6279,Leonid,Järvinen,91
6280,Leonid,Koskinen,28
6281,Alina,Laine,48
6282,Aleksandr,Lehtonen,98
6283,Sofia,Mäkelä,22
6284,Anatoly,Nieminen,70
6285,Alexei,Nieminen,89
6286,Dmitri,Koskinen,47
6287,Maria,Korhonen,50
6288,Alina,Nieminen,85
6289,Maria,Lehtinen,97
6290,Ekaterina,Mäkinen,38
6291,Daniil,Heikkinen,52
6292,Igor,Järvinen,90
